step,timestamp,current_mark_ml,pred_adaboost,pred_GBR,pred_lr,pred_svr,pred_heuristic,current_mark_nn,pred_lstm,pred_optm,action_adaboost,action_GBR,action_lr,action_svr,action_heuristic,action_lstm,action_optm,portfolio_value_adaboost,portfolio_value_GBR,portfolio_value_lr,portfolio_value_svr,portfolio_value_heuristic,portfolio_value_lstm,portfolio_value_optm,investment_adaboost,investment_GBR,investment_lr,investment_svr,investment_heuristic,investment_lstm,investment_optm
29,2025-04-08 05:29:37.001909,58963.66,58966.13756625453,58966.47544742055,58967.527223487654,58969.06585822871,58961.438285535354,58963.66,58972.55,58968.37,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),8000.036632967133,8000.036632967133,8000.036632967133,37997.424078454365,0.0,45996.55143358014,11999.90435247347,8000.0,8000.0,8000.0,38000.0,0.0,46000.0,12000.0
30,2025-04-08 05:29:37.285436,58963.66,58966.13756625453,58966.47544742055,58968.431258364995,58969.91096531968,58961.63959479333,58963.66,58973.434,58968.89,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),9000.036632967134,9000.036632967134,9000.036632967134,38997.42407845437,0.0,46996.55143358014,12999.90435247347,9000.0,9000.0,9000.0,39000.0,0.0,47000.0,13000.0
31,2025-04-08 05:29:37.570811,58963.66,58966.13756625453,58966.47544742055,58968.062130720886,58969.487642372,58961.73358069466,58963.66,58973.082,58968.38,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),10000.036632967134,10000.036632967134,10000.036632967134,39997.42407845437,0.0,47996.55143358015,13999.90435247347,10000.0,10000.0,10000.0,40000.0,0.0,48000.0,14000.0
32,2025-04-08 05:29:37.855414,58963.79,58966.13756625453,58966.086062220624,58967.93563012485,58969.32555287467,58962.00974001506,58963.79,58972.87,58968.324,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),11000.058680525957,11000.058680525957,11000.058680525957,40997.51226268734,0.0,48996.6572538716,14999.93521873187,11000.0,11000.0,11000.0,41000.0,0.0,49000.0,15000.0
33,2025-04-08 05:29:38.140930,58963.79,58966.13756625453,58966.47544742055,58968.18849300932,58969.62533479164,58961.70511936265,58963.79,58973.19,58968.55,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),12000.058680525957,12000.058680525957,12000.058680525957,41997.51226268734,0.0,49996.6572538716,15999.93521873187,12000.0,12000.0,12000.0,42000.0,0.0,50000.0,16000.0
34,2025-04-08 05:29:38.424927,58963.79,58966.13756625453,58966.086062220624,58967.93563012485,58969.32555287467,58961.87915112731,58963.79,58972.87,58968.324,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),13000.058680525957,13000.058680525957,13000.058680525957,42997.51226268734,0.0,50996.6572538716,16999.93521873187,13000.0,13000.0,13000.0,43000.0,0.0,51000.0,17000.0
35,2025-04-08 05:29:38.710579,58963.45,58966.13756625453,58966.086062220624,58967.93563012485,58969.32555287467,58961.19974001506,58963.45,58972.87,58968.324,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),13999.983718927468,13999.983718927468,13999.983718927468,43997.26432824878,0.0,51996.363194357,17999.837192842177,14000.0,14000.0,14000.0,44000.0,0.0,52000.0,18000.0
36,2025-04-08 05:29:38.995920,58963.45,58966.13756625453,58966.086062220624,58967.93563012485,58969.32555287467,58961.53944115181,58963.45,58972.87,58968.324,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),14999.983718927468,14999.983718927468,14999.983718927468,44997.26432824878,0.0,52996.363194357,18999.83719284218,15000.0,15000.0,15000.0,45000.0,0.0,53000.0,19000.0
37,2025-04-08 05:29:39.282923,58963.58,58966.13756625453,58966.086062220624,58967.71006387085,58969.16484447231,58961.60891541543,58963.58,58972.66,58968.008,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),16000.016790226442,16000.016790226442,16000.016790226442,45997.3635362219,0.0,53996.48003838861,19999.879082840733,16000.0,16000.0,16000.0,46000.0,0.0,54000.0,20000.0
38,2025-04-08 05:29:39.568061,58963.58,58966.13756625453,58966.086062220624,58967.71006387085,58969.16484447231,58961.46167583833,58963.58,58972.66,58968.008,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),hold,buy 0.02 units (inject $1000.00),buy 0.02 units (inject $1000.00),17000.01679022644,17000.01679022644,17000.01679022644,46997.3635362219,0.0,54996.4800383886,20999.87908284073,17000.0,17000.0,17000.0,47000.0,0.0,55000.0,21000.0
